epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2646.96,1.11676,0.98694,1.30774,0.72272,0.58632,0.68018,0.41422,1.26992,1.068,1.57166,0.000312497,0.000312497,0.000312497
43,2709.38,1.10048,0.96554,1.30593,0.56913,0.64105,0.65958,0.41268,1.24635,1.05157,1.54439,0.000307289,0.000307289,0.000307289
44,2771.9,1.10093,0.96303,1.30611,0.72336,0.55343,0.63597,0.3944,1.24409,1.11425,1.52557,0.000302082,0.000302082,0.000302082
45,2835.38,1.09312,0.96281,1.30145,0.74695,0.60454,0.68725,0.42442,1.24926,1.03331,1.5417,0.000296874,0.000296874,0.000296874
46,2899.41,1.09284,0.95515,1.29959,0.77653,0.60439,0.68813,0.43739,1.23536,1.00464,1.51892,0.000291667,0.000291667,0.000291667
47,2962.67,1.09458,0.94616,1.29314,0.75833,0.63373,0.70425,0.43565,1.23005,0.99897,1.52494,0.00028646,0.00028646,0.00028646
48,3025.82,1.08978,0.95112,1.29444,0.73711,0.6004,0.68338,0.41669,1.23463,1.04672,1.52392,0.000281252,0.000281252,0.000281252
49,3090.04,1.07488,0.93456,1.29164,0.79609,0.6119,0.7064,0.43252,1.23457,1.01724,1.53107,0.000276045,0.000276045,0.000276045
50,3152.67,1.07712,0.91338,1.2852,0.76795,0.62113,0.71022,0.43605,1.23927,0.99432,1.52212,0.000270837,0.000270837,0.000270837
51,3214.74,1.07464,0.90604,1.28472,0.71633,0.67629,0.70787,0.43084,1.23023,0.99523,1.53404,0.00026563,0.00026563,0.00026563
52,3278.18,1.07722,0.90246,1.27429,0.77555,0.61803,0.71207,0.43419,1.23949,0.99446,1.52721,0.000260423,0.000260423,0.000260423
53,3340.92,1.06343,0.89782,1.27477,0.77418,0.65995,0.7168,0.45038,1.23233,0.95847,1.52891,0.000255215,0.000255215,0.000255215
54,3404.35,1.05894,0.88329,1.27022,0.77514,0.63969,0.72213,0.45575,1.22764,0.9593,1.52511,0.000250008,0.000250008,0.000250008
55,3467.2,1.07264,0.9074,1.2828,0.76049,0.65499,0.70453,0.44164,1.23353,0.9477,1.52941,0.0002448,0.0002448,0.0002448
56,3530.7,1.04355,0.86553,1.25902,0.74225,0.64091,0.71207,0.44439,1.22913,0.96682,1.51347,0.000239593,0.000239593,0.000239593
57,3592.49,1.05932,0.86712,1.26335,0.63157,0.67857,0.69951,0.43408,1.24598,0.99781,1.54397,0.000234386,0.000234386,0.000234386
58,3654.55,1.05321,0.86855,1.26297,0.79039,0.63009,0.71787,0.4573,1.23413,0.95119,1.51771,0.000229178,0.000229178,0.000229178
59,3716.23,1.04656,0.85686,1.26716,0.76819,0.67259,0.74819,0.46749,1.20169,0.91784,1.49552,0.000223971,0.000223971,0.000223971
60,3777.42,1.04713,0.86593,1.2676,0.75269,0.68522,0.74852,0.45445,1.23588,0.94239,1.502,0.000218763,0.000218763,0.000218763
61,3839.75,1.02799,0.84663,1.25256,0.77042,0.65657,0.72866,0.45291,1.22245,0.96233,1.51004,0.000213556,0.000213556,0.000213556
62,3900.95,1.02684,0.83175,1.24994,0.79532,0.68445,0.75137,0.46945,1.22741,0.92738,1.50772,0.000208349,0.000208349,0.000208349
63,3964.26,1.02536,0.83545,1.24822,0.78594,0.67178,0.74393,0.4619,1.23136,0.94573,1.52223,0.000203141,0.000203141,0.000203141
64,4027.14,1.01995,0.83149,1.24941,0.77105,0.67974,0.75201,0.46438,1.23604,0.91513,1.53385,0.000197934,0.000197934,0.000197934
65,4090.39,1.0103,0.81811,1.23884,0.77099,0.68184,0.73944,0.46437,1.22035,0.93237,1.51602,0.000192726,0.000192726,0.000192726
66,4152.37,1.00963,0.82998,1.24202,0.80214,0.67444,0.75376,0.4761,1.23213,0.92895,1.51535,0.000187519,0.000187519,0.000187519
67,4215.35,1.01222,0.81802,1.23963,0.82827,0.68324,0.76468,0.47967,1.20916,0.87231,1.50458,0.000182312,0.000182312,0.000182312
68,4277.24,1.02241,0.81424,1.24322,0.74468,0.71939,0.7639,0.48789,1.2171,0.90438,1.49968,0.000177104,0.000177104,0.000177104
69,4339.92,1.00644,0.80147,1.22997,0.7968,0.70986,0.76534,0.48019,1.20489,0.91279,1.50124,0.000171897,0.000171897,0.000171897
70,4401.05,1.01352,0.8032,1.24044,0.77361,0.70513,0.76874,0.48444,1.22382,0.89581,1.5079,0.000166689,0.000166689,0.000166689
71,4463.43,0.9928,0.79485,1.23087,0.82733,0.69191,0.77867,0.49366,1.21812,0.86381,1.5061,0.000161482,0.000161482,0.000161482
72,4524.91,0.99657,0.79266,1.22874,0.75627,0.73418,0.77648,0.49407,1.21492,0.89009,1.51557,0.000156275,0.000156275,0.000156275
73,4586.61,1.00484,0.79417,1.23661,0.81772,0.7141,0.77445,0.49179,1.2136,0.86739,1.51235,0.000151067,0.000151067,0.000151067
74,4648.75,0.99123,0.77245,1.22265,0.79452,0.71799,0.77065,0.49147,1.21491,0.85697,1.50437,0.00014586,0.00014586,0.00014586
75,4709.87,0.98102,0.77098,1.22054,0.79681,0.73202,0.77679,0.4915,1.20509,0.86333,1.50338,0.000140652,0.000140652,0.000140652
76,4772.11,0.98434,0.77598,1.21913,0.83667,0.69073,0.7777,0.48432,1.20753,0.85567,1.50711,0.000135445,0.000135445,0.000135445
77,4833.24,0.98065,0.75892,1.21387,0.76204,0.73663,0.77877,0.47953,1.2171,0.86958,1.50953,0.000130238,0.000130238,0.000130238
78,4894.36,0.9886,0.77354,1.22059,0.75446,0.75061,0.77905,0.48645,1.20983,0.87462,1.50743,0.00012503,0.00012503,0.00012503
79,4956.42,0.97219,0.75569,1.21149,0.77106,0.75925,0.78758,0.49183,1.20586,0.85036,1.49801,0.000119823,0.000119823,0.000119823
80,5017.43,0.96659,0.75319,1.20685,0.77735,0.7453,0.78359,0.50229,1.202,0.85854,1.49963,0.000114615,0.000114615,0.000114615
81,5080.3,0.96699,0.74419,1.21157,0.77834,0.74259,0.77883,0.48983,1.20353,0.87048,1.49729,0.000109408,0.000109408,0.000109408
82,5142.17,0.96836,0.74874,1.21494,0.77383,0.74038,0.77462,0.48544,1.20507,0.85534,1.49725,0.000104201,0.000104201,0.000104201
83,5205.84,0.95839,0.74158,1.2019,0.76001,0.74555,0.77846,0.48745,1.20985,0.87967,1.50875,9.89932e-05,9.89932e-05,9.89932e-05
84,5267.76,0.96123,0.74636,1.20346,0.79138,0.73715,0.7777,0.49118,1.19878,0.85166,1.4924,9.37858e-05,9.37858e-05,9.37858e-05
85,5330.48,0.94712,0.72234,1.20105,0.77971,0.74909,0.78496,0.50228,1.2091,0.845,1.50654,8.85784e-05,8.85784e-05,8.85784e-05
86,5392.84,0.95322,0.72533,1.20067,0.79765,0.73914,0.79305,0.49742,1.21025,0.83446,1.50174,8.3371e-05,8.3371e-05,8.3371e-05
87,5456.21,0.95422,0.73066,1.19915,0.78845,0.76715,0.7956,0.49118,1.21056,0.83436,1.50349,7.81636e-05,7.81636e-05,7.81636e-05
88,5518.38,0.94336,0.72255,1.19525,0.81483,0.74597,0.79642,0.50341,1.21179,0.82139,1.51091,7.29562e-05,7.29562e-05,7.29562e-05
89,5581.51,0.95039,0.71996,1.19488,0.81928,0.74905,0.80019,0.49713,1.21294,0.81746,1.51439,6.77488e-05,6.77488e-05,6.77488e-05
90,5645.64,0.95312,0.72536,1.2001,0.81516,0.75979,0.80435,0.50556,1.20862,0.80823,1.51037,6.25414e-05,6.25414e-05,6.25414e-05
91,5708.78,0.88642,0.59669,1.18409,0.76478,0.76259,0.78395,0.50356,1.20523,0.8138,1.50951,5.7334e-05,5.7334e-05,5.7334e-05
92,5768.71,0.87289,0.56506,1.16933,0.7893,0.75363,0.78766,0.5032,1.20664,0.81674,1.51221,5.21266e-05,5.21266e-05,5.21266e-05
93,5828.33,0.86333,0.54762,1.16886,0.83069,0.73403,0.79535,0.50462,1.20786,0.79913,1.51049,4.69192e-05,4.69192e-05,4.69192e-05
94,5887.88,0.85843,0.55268,1.16828,0.77741,0.77074,0.78799,0.49736,1.20541,0.80843,1.51229,4.17118e-05,4.17118e-05,4.17118e-05
95,5947.97,0.86016,0.55133,1.16394,0.79921,0.77072,0.79801,0.50324,1.20341,0.80034,1.50786,3.65044e-05,3.65044e-05,3.65044e-05
96,6007.42,0.85423,0.53374,1.15947,0.79502,0.77558,0.80385,0.50329,1.20375,0.79624,1.50463,3.1297e-05,3.1297e-05,3.1297e-05
97,6067.3,0.8456,0.53111,1.15755,0.81235,0.73433,0.78683,0.50219,1.20664,0.80217,1.51009,2.60896e-05,2.60896e-05,2.60896e-05
98,6126.68,0.84449,0.53013,1.15595,0.81612,0.76001,0.79509,0.5047,1.20149,0.80241,1.50843,2.08822e-05,2.08822e-05,2.08822e-05
99,6187.18,0.83974,0.52877,1.15117,0.82495,0.75746,0.79793,0.50631,1.19637,0.79938,1.50489,1.56748e-05,1.56748e-05,1.56748e-05
100,6247.08,0.83941,0.52136,1.15183,0.82166,0.75744,0.79801,0.50704,1.20006,0.79727,1.50746,1.04674e-05,1.04674e-05,1.04674e-05
